gene,msi,component,r,r_abs
Ptma,mz.301.764925,6,0.15152389,0.15152389
Spef2,mz.537.574345,6,0.15147465,0.15147465
Ppp1r32,mz.270.798065,6,0.15144661,0.15144661
Clu,mz.421.939095,6,0.15134296,0.15134296
Plppr4,mz.286.77187000000004,6,-0.15134145,0.15134145
Car2,mz.573.512445,6,0.15116633,0.15116633
Dbi,mz.168.836325,6,0.15113759,0.15113759
Ptma,mz.154.88083999999998,6,0.15104368,0.15104368
Vim,mz.565.525445,6,0.15098509,0.15098509
Mobp,mz.171.006475,6,0.1508938,0.1508938
Cryab,mz.467.972585,6,0.15088838,0.15088838
Car2,mz.282.77783,6,0.15083711,0.15083711
Ermn,mz.463.998265,6,0.15081549,0.15081549
Cacng3,mz.301.764925,6,-0.15074342,0.15074342
Bcas1,mz.569.518775,6,0.15073894,0.15073894
Mbp,mz.362.79088,6,0.15064308,0.15064308
Baiap3,mz.171.006475,6,-0.15049753,0.15049753
Cmtm5,mz.362.79088,6,0.15047443,0.15047443
Cmtm5,mz.286.77187000000004,6,0.15046315,0.15046315
Thbs4,mz.362.79088,6,0.15027502,0.15027502
Vim,mz.152.883785,6,0.1501579,0.1501579
Gng5,mz.533.58042,6,0.150057,0.150057
Dbi,mz.341.65557,6,0.15004723,0.15004723
Cacng3,mz.569.518775,6,-0.15000989,0.15000989
Cmtm5,mz.360.7937,6,0.14999956,0.14999956
Car2,mz.288.768965,6,0.14998423,0.14998423
Wfs1,mz.268.9367,6,-0.14990589,0.14990589
Ptma,mz.463.998265,6,0.14982787,0.14982787
Clu,mz.230.899915,6,0.14973077,0.14973077
Cd9,mz.154.88083999999998,6,0.14963484,0.14963484
Plekhb1,mz.228.965125,6,0.14962581,0.14962581
Car2,mz.569.518775,6,0.14958535,0.14958535
Tsc22d4,mz.463.998265,6,0.14943478,0.14943478
Ptma,mz.362.79088,6,0.14938337,0.14938337
Clic4,mz.150.88660499999997,6,0.14933483,0.14933483
Clic4,mz.288.768965,6,0.14932023,0.14932023
Trf,mz.421.939095,6,0.14930151,0.14930151
Capsl,mz.270.798065,6,0.14925645,0.14925645
Cryab,mz.301.764925,6,0.14917292,0.14917292
Clic4,mz.565.525445,6,0.14916655,0.14916655
Cacng3,mz.152.883785,6,-0.14916454,0.14916454
Fth1,mz.208.84542,6,0.14915618,0.14915618
Dbi,mz.172.83201,6,0.14905864,0.14905864
Mbp,mz.360.7937,6,0.14901854,0.14901854
Cd9,mz.421.939095,6,0.14901252,0.14901252
Ppp1r32,mz.344.73039,6,0.14886966,0.14886966
