gene,msi,component,r,r_abs
Adora2a,mz.366.90242,7,0.33999214,0.33999214
Rasd2,mz.366.89971,7,0.3399548,0.3399548
Slc17a7,mz.217.9387,7,-0.339913,0.339913
Rgs9,mz.201.934135,7,0.33976558,0.33976558
Gpr88,mz.393.91748,7,0.33969057,0.33969057
Hpca,mz.364.902325,7,0.33966753,0.33966753
Ppp1r1b,mz.201.932625,7,0.33946854,0.33946854
Vxn,mz.240.122615,7,-0.33923662,0.33923662
Scn4b,mz.222.02953,7,0.3391508,0.3391508
Olfm1,mz.762.473255,7,-0.33904853,0.33904853
Rasd2,mz.403.84944,7,0.33857024,0.33857024
Gpr88,mz.203.93183499999998,7,0.33842373,0.33842373
Gpr88,mz.435.85526,7,0.3383488,0.3383488
Penk,mz.838.67165,7,0.3382635,0.3382635
Slc30a3,mz.240.12396999999999,7,-0.3381549,0.3381549
Inf2,mz.348.92984,7,0.33805904,0.33805904
Arpp21,mz.241.12645,7,0.33789206,0.33789206
Rasd2,mz.203.930065,7,0.337876,0.337876
Adcy5,mz.348.92984,7,0.33785743,0.33785743
Arpp21,mz.348.93134,7,0.33785528,0.33785528
Drd1,mz.240.12396999999999,7,0.3376677,0.3376677
Inf2,mz.348.93134,7,0.33741972,0.33741972
Penk,mz.395.913475,7,0.33736652,0.33736652
Hpca,mz.240.12396999999999,7,0.33729362,0.33729362
Ppp1r1b,mz.203.932345,7,0.3372532,0.3372532
Pde1b,mz.219.93651,7,0.3372041,0.3372041
Slc17a7,mz.762.473255,7,-0.33674115,0.33674115
Pde10a,mz.201.932625,7,0.33645368,0.33645368
Adora2a,mz.348.92861500000004,7,0.336379,0.336379
Pcp4l1,mz.217.9387,7,0.3363616,0.3363616
Drd1,mz.240.122615,7,0.33621597,0.33621597
Pde10a,mz.203.932345,7,0.33606738,0.33606738
Vxn,mz.222.02953,7,-0.33602095,0.33602095
Hpca,mz.863.68026,7,0.3358585,0.3358585
Rasd2,mz.393.915395,7,0.33559802,0.33559802
Pde1b,mz.366.89971,7,0.33554602,0.33554602
