gene,w,component,w_abs
Col6a2,-0.01705752,6,0.01705752
Rgs22,0.016908573,6,0.016908573
Smc3,0.016811194,6,0.016811194
Id3,0.016805442,6,0.016805442
Pigz,-0.01678858,6,0.01678858
S100a16,0.016778855,6,0.016778855
Crabp2,-0.016701482,6,0.016701482
Galnt18,-0.016668128,6,0.016668128
Rreb1,0.016606724,6,0.016606724
Slc17a8,-0.016600551,6,0.016600551
Pi4k2a,-0.016595276,6,0.016595276
T2,0.01642119,6,0.01642119
Zfp870,0.016290192,6,0.016290192
Pacs2,0.016177258,6,0.016177258
Gm13421,0.015996806,6,0.015996806
Gabra3,-0.015925674,6,0.015925674
Tmem86a,-0.015905436,6,0.015905436
Bcas1,-0.015787106,6,0.015787106
Myl9,0.01578601,6,0.01578601
Gsap,0.015750919,6,0.015750919
Mag,-0.015643254,6,0.015643254
Susd2,-0.015523662,6,0.015523662
Fam81b,0.015460349,6,0.015460349
Mcc,0.015375908,6,0.015375908
Gng2,0.015337439,6,0.015337439
Tmem98,0.01527645,6,0.01527645
Gngt2,-0.01526515,6,0.01526515
Elovl5,0.015101938,6,0.015101938
Bcas3,-0.015089512,6,0.015089512
Lrrc55,-0.015071602,6,0.015071602
Lrrc43,0.015006788,6,0.015006788
9130019O22Rik,0.014996331,6,0.014996331
Pald1,0.01493514,6,0.01493514
Adamts15,-0.014912319,6,0.014912319
Unc13c,0.014891154,6,0.014891154
Syndig1l,-0.014850961,6,0.014850961
Rabep1,-0.014642607,6,0.014642607
Smc5,0.014204958,6,0.014204958
Arhgap23,-0.014139499,6,0.014139499
Gm867,0.0140982885,6,0.0140982885
Ldoc1,0.014066027,6,0.014066027
Plaat3,0.014016468,6,0.014016468
Cyp2d26,0.014001273,6,0.014001273
Pxmp2,0.013965118,6,0.013965118
Ly6a,-0.013861932,6,0.013861932
Alas2,-0.013831457,6,0.013831457
Zcchc24,0.013724741,6,0.013724741
Gm35611,0.013712994,6,0.013712994
Zfp579,-0.01369931,6,0.01369931
Cdk2,0.01364379,6,0.01364379
Mfhas1,-0.01360198,6,0.01360198
Scml4,0.013575644,6,0.013575644
Pgm2,-0.013479011,6,0.013479011
Snx18,0.013451477,6,0.013451477
Gramd2,-0.013387864,6,0.013387864
Cyp3a13,0.013356007,6,0.013356007
Meox1,0.013188754,6,0.013188754
Cyp2s1,-0.013175561,6,0.013175561
7630403G23Rik,-0.013082152,6,0.013082152
Jmjd7,0.01306596,6,0.01306596
1700011D18Rik,0.01301277,6,0.01301277
Kiss1r,0.012966738,6,0.012966738
Mllt10,-0.012719705,6,0.012719705
Gm17494,-0.012566725,6,0.012566725
Cpxm2,0.012510474,6,0.012510474
Zfp462,0.012346074,6,0.012346074
Scg2,0.012307474,6,0.012307474
