gene,w,component,w_abs
9330111N05Rik,0.0047641173,2,0.0047641173
Sorbs3,0.004756987,2,0.004756987
Gm16283,-0.004734324,2,0.004734324
Cyp1b1,-0.0047184112,2,0.0047184112
Gm19705,-0.0046979496,2,0.0046979496
A530083I20Rik,0.0046722475,2,0.0046722475
Ttf2,-0.0046319957,2,0.0046319957
Lap3,0.004628059,2,0.004628059
Spef2,0.004614343,2,0.004614343
Far2os1,-0.004599423,2,0.004599423
Gm50323,0.004556197,2,0.004556197
Sepsecs,-0.0045446176,2,0.0045446176
Elovl6,0.0045076604,2,0.0045076604
Slc14a1,0.004496743,2,0.004496743
Dtx2,0.00447763,2,0.00447763
Bean1,-0.004456789,2,0.004456789
Col1a2,-0.004435107,2,0.004435107
Mrps15,0.0044259606,2,0.0044259606
Trim13,0.004421891,2,0.004421891
Evc,-0.0044167023,2,0.0044167023
Ucp2,0.004403534,2,0.004403534
Zfp382,-0.0044001453,2,0.0044001453
Arpc1b,0.004397326,2,0.004397326
Mcee,-0.004391739,2,0.004391739
Parg,-0.00437947,2,0.00437947
4921536K21Rik,0.004355149,2,0.004355149
Galnt15,0.004349297,2,0.004349297
Samd4b,0.0043222494,2,0.0043222494
Map7,0.0043188925,2,0.0043188925
Il1rap,0.0042794063,2,0.0042794063
Eef2kmt,0.004271108,2,0.004271108
Pabpc5,0.0042600054,2,0.0042600054
Chpt1,0.0042564846,2,0.0042564846
Stat5a,0.004253496,2,0.004253496
Akip1,0.004248257,2,0.004248257
Trp53bp2,0.0042377613,2,0.0042377613
Gm27003,0.0042294106,2,0.0042294106
Mmrn2,0.0042293123,2,0.0042293123
Ldlrad3,-0.004205426,2,0.004205426
Aamdc,0.0041904966,2,0.0041904966
2410006H16Rik,0.004184539,2,0.004184539
Hacd2,-0.004180598,2,0.004180598
4930572G02Rik,-0.00417745,2,0.00417745
Hapln1,-0.0041675335,2,0.0041675335
9030407P20Rik,-0.0041662143,2,0.0041662143
Dock11,0.004133081,2,0.004133081
Dnah9,0.004132211,2,0.004132211
Ppfibp2,0.0041302484,2,0.0041302484
Wbp1,0.004128639,2,0.004128639
1110017D15Rik,0.0041171783,2,0.0041171783
D7Ertd443e,0.0041163047,2,0.0041163047
AC163347.1,0.0041137,2,0.0041137
Baz2b,0.0040992103,2,0.0040992103
Zfp97,-0.0040931804,2,0.0040931804
BC051408,-0.0040910523,2,0.0040910523
Ybx3,0.004090522,2,0.004090522
