gene,w,component,w_abs
Mkks,-3.6778151e-06,1,3.6778151e-06
Srsf1,3.6684437e-06,1,3.6684437e-06
Kcnk1,3.6514075e-06,1,3.6514075e-06
Gm17322,-3.6504587e-06,1,3.6504587e-06
Barhl2,-3.644916e-06,1,3.644916e-06
Pms1,-3.6421673e-06,1,3.6421673e-06
Gm49719,-3.6339895e-06,1,3.6339895e-06
Gpr139,-3.629838e-06,1,3.629838e-06
Gm33594,-3.618836e-06,1,3.618836e-06
Flna,3.6133883e-06,1,3.6133883e-06
Mkrn2,-3.6091994e-06,1,3.6091994e-06
Rspo3,3.5974972e-06,1,3.5974972e-06
Rmnd5a,3.596629e-06,1,3.596629e-06
Fam83h,3.5818125e-06,1,3.5818125e-06
Zfp112,-3.5707385e-06,1,3.5707385e-06
Rbm26,-3.5655935e-06,1,3.5655935e-06
Met,3.5620965e-06,1,3.5620965e-06
Wnt2b,-3.560332e-06,1,3.560332e-06
Dmp1,-3.5596029e-06,1,3.5596029e-06
Tgds,3.5546402e-06,1,3.5546402e-06
Limk1,3.534083e-06,1,3.534083e-06
9630014M24Rik,-3.527106e-06,1,3.527106e-06
Arhgap30,-3.5251883e-06,1,3.5251883e-06
Gm26879,3.517259e-06,1,3.517259e-06
Pknox1,3.5161445e-06,1,3.5161445e-06
Pcp2,-3.5137914e-06,1,3.5137914e-06
Zfp869,3.512026e-06,1,3.512026e-06
1700123M08Rik,-3.5051382e-06,1,3.5051382e-06
Ppm1d,-3.5048001e-06,1,3.5048001e-06
Gatm,-3.4921384e-06,1,3.4921384e-06
Xpo5,3.4918714e-06,1,3.4918714e-06
Zfp408,-3.4858415e-06,1,3.4858415e-06
Zfp354b,3.467986e-06,1,3.467986e-06
Zfp157,-3.4675209e-06,1,3.4675209e-06
Gjb1,3.4668365e-06,1,3.4668365e-06
Foxb1,-3.4654538e-06,1,3.4654538e-06
Plk1,-3.4526201e-06,1,3.4526201e-06
Col6a1,3.4511042e-06,1,3.4511042e-06
H2-Ab1,-3.4480763e-06,1,3.4480763e-06
Cartpt,-3.4436305e-06,1,3.4436305e-06
Rnf112,-3.4355378e-06,1,3.4355378e-06
Ss18l1,3.417988e-06,1,3.417988e-06
Adgrl2,3.4161894e-06,1,3.4161894e-06
Trmu,-3.411228e-06,1,3.411228e-06
Chga,3.409954e-06,1,3.409954e-06
Myo1c,-3.4024379e-06,1,3.4024379e-06
Ccser2,-3.3991853e-06,1,3.3991853e-06
Smg9,3.3920348e-06,1,3.3920348e-06
Gm4211,3.379668e-06,1,3.379668e-06
Snx6,-3.3729566e-06,1,3.3729566e-06
Ipo5,-3.3728606e-06,1,3.3728606e-06
Efna3,-3.3690733e-06,1,3.3690733e-06
Dnah7b,-3.3690305e-06,1,3.3690305e-06
Cables2,3.3664055e-06,1,3.3664055e-06
Pcdhb19,3.358267e-06,1,3.358267e-06
Idi1,-3.3385286e-06,1,3.3385286e-06
H6pd,3.330855e-06,1,3.330855e-06
Dctpp1,-3.327893e-06,1,3.327893e-06
Mgat4a,3.3272051e-06,1,3.3272051e-06
Rasip1,3.3203405e-06,1,3.3203405e-06
Fcnaos,-3.3153756e-06,1,3.3153756e-06
