msi,w,component,w_abs
mz.527.19225,0.1929115,0,0.1929115
mz.582.23388,0.19271421,0,0.19271421
mz.556.24583,-0.19245254,0,0.19245254
mz.229.28425,-0.19193189,0,0.19193189
mz.569.25386,-0.19168693,0,0.19168693
mz.174.74559,-0.19163576,0,0.19163576
mz.950.23977,-0.19124779,0,0.19124779
mz.555.22673,-0.19112922,0,0.19112922
mz.353.1652,0.19107468,0,0.19107468
mz.312.12163,0.1908016,0,0.1908016
mz.523.23274,0.19043767,0,0.19043767
mz.304.11359,0.19016589,0,0.19016589
mz.889.40168,0.18849522,0,0.18849522
mz.288.11343,-0.18762401,0,0.18762401
mz.663.12854,-0.18690893,0,0.18690893
mz.705.30642,-0.18645874,0,0.18645874
mz.611.19159,0.18600728,0,0.18600728
mz.552.24744,0.18558884,0,0.18558884
mz.558.2338,-0.18496266,0,0.18496266
mz.288.11178,-0.18463163,0,0.18463163
mz.650.28223,0.18437253,0,0.18437253
mz.556.21059,0.18424615,0,0.18424615
mz.572.24556,-0.18416148,0,0.18416148
mz.392.12418,0.18415686,0,0.18415686
mz.554.21053,-0.18408018,0,0.18408018
mz.537.23666,0.18304686,0,0.18304686
mz.580.21475,-0.18280163,0,0.18280163
mz.513.20914,-0.18247938,0,0.18247938
mz.704.30227,-0.18214512,0,0.18214512
mz.704.1295,-0.18213966,0,0.18213966
mz.555.22918,-0.18066792,0,0.18066792
mz.953.25877,-0.18053082,0,0.18053082
mz.557.24277,0.1803704,0,0.1803704
mz.794.29594,-0.1794645,0,0.1794645
mz.812.05004,-0.17784368,0,0.17784368
mz.723.49244,0.17759307,0,0.17759307
mz.229.28376,0.17756194,0,0.17756194
mz.551.21192,0.17745052,0,0.17745052
mz.986.342,0.17729273,0,0.17729273
mz.778.28405,0.1769333,0,0.1769333
mz.842.35155,-0.1768853,0,0.1768853
mz.553.25441,-0.17641167,0,0.17641167
mz.574.25101,-0.17632188,0,0.17632188
mz.216.48932,-0.17613319,0,0.17613319
mz.972.24655,-0.17607869,0,0.17607869
mz.789.30798,-0.17588477,0,0.17588477
mz.535.20994,-0.17578591,0,0.17578591
mz.554.25774,0.1757829,0,0.1757829
mz.824.2881,0.17557694,0,0.17557694
mz.599.23249,0.17508337,0,0.17508337
